               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12574,            0.023661,              0.0297,                   0,                   0,                   0,                   0,            0.084469,            0.020385,            0.022764,              0.0919,              0.0009,              0.0009
                   1,             0.11708,            0.019596,            0.028476,                   0,                   0,                   0,                   0,            0.074236,            0.017788,             0.01958,            0.082862,           0.0018624,           0.0018624
                   2,             0.10594,            0.017591,            0.026604,                   0,                   0,                   0,                   0,            0.067506,            0.016485,            0.017516,            0.073785,           0.0027852,           0.0027852
                   3,            0.096585,            0.016001,            0.027159,                   0,                   0,                   0,                   0,             0.05986,            0.014906,            0.015728,            0.064668,           0.0036683,           0.0036683
                   4,            0.085654,            0.015017,            0.026109,                   0,                   0,                   0,                   0,              0.0581,            0.013166,            0.013735,            0.055512,           0.0045119,           0.0045119
                   5,             0.07749,            0.013954,            0.024838,          0.00048309,            0.035714,          0.00026944,          2.6944e-05,            0.063578,            0.011384,            0.013326,            0.046316,           0.0053159,           0.0053159
                   6,            0.075408,            0.012702,            0.024988,           0.0023672,             0.32143,           0.0026572,          0.00067086,            0.050335,            0.011435,            0.013627,             0.03708,           0.0060803,           0.0060803
                   7,            0.072827,            0.012787,            0.024435,           0.0027533,             0.92857,           0.0078571,           0.0018268,            0.050486,            0.010098,            0.013325,            0.027805,           0.0068051,           0.0068051
                   8,            0.068349,            0.012933,            0.024577,           0.0018457,             0.35714,           0.0025046,          0.00064727,            0.057291,           0.0097159,            0.012585,             0.01849,           0.0074902,           0.0074902
                   9,            0.069937,            0.011723,            0.024576,            0.002364,             0.89286,            0.005081,           0.0014083,            0.047156,           0.0098744,            0.013748,           0.0091358,           0.0081358,           0.0081358
                  10,            0.066844,            0.012399,            0.022984,           0.0021523,             0.85714,           0.0041054,          0.00078546,            0.054062,           0.0091897,            0.013858,             0.00802,             0.00802,             0.00802
                  11,            0.064453,            0.011043,            0.022833,           0.0025104,             0.92857,           0.0088032,           0.0021731,            0.045641,           0.0097078,            0.013373,             0.00802,             0.00802,             0.00802
                  12,            0.058674,            0.012378,            0.023478,           0.0023862,             0.89286,           0.0047306,               0.002,            0.043497,           0.0098455,            0.014389,            0.007822,            0.007822,            0.007822
                  13,            0.058012,            0.012612,            0.023199,           0.0023093,             0.89286,            0.010464,           0.0025144,            0.045902,           0.0092662,            0.012542,            0.007624,            0.007624,            0.007624
                  14,            0.056384,            0.011466,            0.021275,           0.0021035,             0.85714,            0.042324,           0.0062586,            0.046994,           0.0090989,            0.011635,            0.007426,            0.007426,            0.007426
                  15,            0.053021,            0.011334,            0.022163,           0.0024376,             0.92857,             0.03753,           0.0082922,            0.044231,           0.0088553,            0.010993,            0.007228,            0.007228,            0.007228
                  16,            0.055253,            0.011148,            0.020238,           0.0024742,             0.92857,            0.072371,            0.012943,            0.042636,           0.0090572,            0.010096,             0.00703,             0.00703,             0.00703
                  17,            0.054095,            0.012033,            0.018316,           0.0028156,             0.96429,            0.093571,            0.020796,            0.038147,           0.0091107,           0.0093486,            0.006832,            0.006832,            0.006832
                  18,            0.051226,            0.011119,            0.017259,           0.0029295,             0.96429,             0.12505,            0.035509,            0.034808,           0.0092664,           0.0084094,            0.006634,            0.006634,            0.006634
                  19,            0.047346,            0.011653,            0.014901,           0.0028794,             0.96429,             0.11712,            0.035103,            0.039202,           0.0085954,           0.0070438,            0.006436,            0.006436,            0.006436
                  20,            0.052335,            0.011338,            0.013777,            0.075008,             0.39286,             0.27746,            0.092195,            0.034691,           0.0087694,           0.0061178,            0.006238,            0.006238,            0.006238
                  21,             0.05005,            0.011386,            0.010561,             0.82578,             0.20134,             0.27627,            0.081386,            0.041846,           0.0080447,           0.0047176,             0.00604,             0.00604,             0.00604
                  22,            0.047526,            0.010195,           0.0092752,             0.65308,             0.22088,             0.18075,            0.055455,            0.039257,           0.0080553,           0.0046865,            0.005842,            0.005842,            0.005842
                  23,            0.047832,            0.010976,           0.0090128,              0.8956,             0.27156,             0.37815,             0.13687,            0.034871,           0.0082525,           0.0052194,            0.005644,            0.005644,            0.005644
